raw,clean
"@AdamPrabata KIPI nya gimana , Dok? Masih ada harapan vaksin lain dalam waktu dekat ga yah? Selama ini ga pernah picky masalah vaksin covid, semua yg tersedia itu yg kami pakai. Tapi kalo buat anak pake Moderna, aku kok agak ga tegaa 😥",kipi nya bagaimana dok masih ada harap vaksin lain dalam waktu dekat enggak ya lama ini enggak pernah picky masalah vaksin covid semua yang sedia itu yang kami pakai tapi jika buat anak pakai moderna saya kok agak enggak tegaa
"vaksin Coronavac, vaksin jadi buatan Sinovac asal Tiongkok, vaksin COVID-19, vaksin produksi Bio Farma dengan bahan baku dari Sinovac, vaksin AstraZeneca asal Inggris, vaksin Moderna dan Pfizer asal Amerika Serikat.

#IndonesiaSehatIndonesiaHebat",vaksin coronavac vaksin jadi buat sinovac asal tiongkok vaksin covid vaksin produksi bio farma dengan bahan baku dari sinovac vaksin astrazeneca asal inggris vaksin moderna dan pfizer asal amerika serikat
"Akhirnya dapet booster vaksin covid, kebetulan di RS persahabatan adanya lagi moderna. Yauds cuss!!!",akhir dapat booster vaksin covid betul di rs sahabat ada lagi moderna yauds cu
"Mereka dapet vaksin nya az apa moderna ya? Apa pfizer??

Gile sih.. w juga pake pfizer lemes nya ampun2an kek positif covid kemaren",mereka dapat vaksin nya az apa moderna iya apa pfizer gila sih juga pakai pfizer lemes nya ampun an kayak positif covid kemarin
hanifa alhamdulillah kebal sama efek samping vaksin covid hahaha tp jadi kepo sm yg moderna apakah saya akan kebal juga? 😆😆,hanifa alhamdulillah kebal sama efek samping vaksin covid hahaha tapi jadi mau tahu urus orang sama yang moderna apakah saya akan kebal juga
Ayok masyarakat Indonesia vaksin pakek moderna dan phizer supaya kebalan tubuh kita supaya kita sehat tidak kenak covid 19 ayok masyarakat Indonesia vaksinasi,ayo masyarakat indonesia vaksin pakai moderna dan phizer supaya kebal tubuh kita supaya kita sehat tidak nak covid ayo masyarakat indonesia vaksinasi
"COVID DAY 3 

Demam 
Sakit tekak
Cirit birit 
Pening + mual

Dh vaksin 2 dos Pfizer, 1 dos Moderna.",covid hari demam sakit tekak cirit birit pening mual deh vaksin dos pfizer dos moderna
"Moderna memulai uji klinis fase 1 vaksin HIV yang menggunakan teknologi mRNA.

Teknologi mRNA sebelum digunakan untuk vaksin Covid19 memang dipersiapkan untuk vaksin HIV.

#InfoKesehatan",moderna mulai uji klinis fase vaksin hiv yang guna teknologi mrna teknologi mrna belum guna untuk vaksin covid memang siap untuk vaksin hiv
Kemaren vaksin booster moderna efek sampingnya kaya kena covid lagi tapi sedikit lebih ringan :(,kemarin vaksin booster moderna efek samping kayak kena covid lagi tapi sedikit lebih ringan
"@twitpos Create demand Vaksin:Ciptakan Virus,Covid19(Pfizer,Moderna)",create demand vaksin cipta virus covid pfizer moderna
"Jenis vaksin COVID-19 yang telah mendapatkan izin penggunaan darurat dari Badan Pengawas Obat dan Makanan (BPOM) RI, antara lain:

CoronaVac buatan Sinovac
Vaksin Comirnaty buatan Pfizer
Vaksin Zivifax buatan Anhui
Moderna
AstraZeneca",jenis vaksin covid yang telah dapat izin guna darurat dari badan awas obat dan makan bpom ri antara lain coronavac buat sinovac vaksin comirnaty buat pfizer vaksin zivifax buat anhui moderna astrazeneca
@riri_rhi Lbh sakit kena efek vaksin moderna daripada kena covid,lebih sakit kena efek vaksin moderna daripada kena covid
"@riri_rhi Utk itu blm kutanyakan lbh lanjut,tp yg kulihat dulu waktu gerai vaksinasi msh belum terlalu ramai,memang efek kena covid beda beda ke tiap orang,ada yg bisa long covid,ada yg demam,bapil+anosmia,ada yg serasa seperti divaksin moderna,ada juga yg bilang lbh sakit kena",untuk itu belum tanya lebih lanjut tapi yang lihat dulu waktu gerai vaksinasi masih belum terlalu ramai memang efek kena covid beda beda ke tiap orang ada yang bisa long covid ada yang demam bapil anosmia ada yang serasa seperti vaksin moderna ada juga yang bilang lebih sakit kena
"@kaanarizkiyp @yanadheem Dari artikel yg aku baca katanya efeknya lebih mantep dr yg sarcov vaksin. Tapi itu tergantung sm kekebalan tubuh kita. Moderna, pfizer juga lebih bikin kita lebih kebal sih sm corona. Jadi pas gelombang badai ke4 ini ga sebanyak th lalu. Cemungut",dari artikel yang saya baca kata efek lebih mantap dari yang sarcov vaksin tapi itu gantung sama kebal tubuh kita moderna pfizer juga lebih buat kita lebih kebal sih sama corona jadi pas gelombang badai ke ini enggak banyak tahun lalu cemungut
"Persyaratan masuk ke Jerman: menunjukkan bukti vaksinasi Covid-19, bukti telah sembuh dari Covid-19 ATAU bukti tes antigen atau PCR dengan hasil negatif.

Vaksin yang berlaku di Jerman ialah AstraZeneca,BionTech/Pfizer, Moderna, Johnson &amp;Johnson.",syarat masuk ke jerman tunjuk bukti vaksinasi covid bukti telah sembuh dari covid atau bukti tes antigen atau pcr dengan hasil negatif vaksin yang laku di jerman ialah astrazeneca biontech pfizer moderna johnson amp johnson
@RaniKancana__ aku baca di kumparan indonesia dpt transfer teknologi mRNA utk memecahkan virus covid-19. ini teknologi yg sama yg dipakai moderna utk mencari vaksin HIV yg skrg skrg baru aja lolos uji klinis tahap 1. kita pada nungguin kabar baik ini biar sembuh total mba rani 🤩🤘🏿,saya baca di kumpar indonesia dapat transfer teknologi mrna untuk pecah virus covid ini teknologi yang sama yang pakai moderna untuk cari vaksin hiv yang sekarang sekarang baru saja lolos uji klinis tahap kita pada tunggu kabar baik ini supaya sembuh total mbak rani
"Sepertinya vaksin COVID-19 Pfizer dan Moderna untuk booster udah pada keabisan yah ini, banyak Puskesmas &amp; RS di Jkt cuma sediain AZ buat booster nih 🤔",seperti vaksin covid pfizer dan moderna untuk booster sudah pada abis ya ini banyak puskesmas amp rs di jakarta cuma ain az buat booster ini
Sulitnya mencari vaksin booster yang masih menggunakan vaksin #Pfizer atau #Moderna di Tangerang atau Jakarta sekarang ini 😥 #VaksinBooster #covid19,sulit cari vaksin booster yang masih guna vaksin atau di tangerang atau jakarta sekarang ini
"@1Nusantara_ @dr_koko28 sy jg nih. pagi booster, malem drop sampe seminggu. dpt moderna 1 dosis. tp abis itu alhamdulillaah sehat. ya memang wajar sih.. namanya tubuh lg memperkuat antibodinya abis divaksin. bayi jg gitu klo abis vaksin. rewel. kena covid abis booster ? prokesnya gmn ? 😁",saya juga ini pagi booster malam drop sampai minggu dapat moderna dosis tapi habis itu alhamdulillaah sehat iya memang wajar sih nama tubuh lagi kuat antibodi habis vaksin bayi juga begitu kalo habis vaksin rewel kena covid habis booster prokesnya bagaimana
Pfizer Inc. dan #Moderna Inc. sejauh ini telah melaporkan setidaknya $79 miliar dalam penjualan global gabungan vaksin dan perawatan Covid-19 untuk tahun 2021.,pfizer inc dan inc jauh ini telah lapor tidak miliar dalam jual global gabung vaksin dan awat covid untuk tahun
"Gue literally vaksin 2x moderna, jarang keluar, clean freak aja masi kena covid yall better take care of yourself more",aku literally vaksin moderna jarang keluar clean freak saja masih kena covid yall better take care of yourself more
info 2nd dose vaksin covid-19 moderna dong di daerah depok..,informasi indak dose vaksin covid moderna dong di daerah depok
"Stlah 1 bulan bsa mlewati covid walaupun kerja di area pasien covid gua mkin tkjub sma imun gua yg kebalnya luar biasa ini,ni krena jaman muda ska sakit2 trus pas tua jdi kebal apa ya gua ma virus wkwk bhkan smua vaksin yg gua coba dri sinovac,moderna,n pfizer jg gk da rsa ,gila2",stlah bulan bisa mlewati covid walaupun kerja di area pasien covid aku makin tkjub sama imun aku yang kebal luar biasa ini ini karena jaman muda suka sakit terus pas tua jadi kebal apa iya aku sama virus wkwk bhkan semua vaksin yang aku coba dari sinovac moderna pfizer juga enggak sudah rsa gila
"@Ririin728 Inisiatif e dokter ku mb, krn ada sisa permintaan vaksin

Dan udah kelewat 6bulan jg dr vaksin ku sblomnya, jd dikasih deh

Kbetulan kmren aku 1&amp;2 Sinovac, 3 Moderna, jd 4 nya boleh Aztra

Kprluan dlm rangka ngerawat pasien covid ae.. hehehe",inisiatif dokter ku mbak karena ada sisa minta vaksin dan sudah lewat bulan juga dari vaksin ku sblomnya jadi kasih deh betul kemarin saya amp sinovac moderna jadi nya boleh aztra kprluan dalam rangka ngerawat pasien covid saja hehehe
"@RanduWatangan @yogapuskarani @ProfesorZubairi Itu dua2 nya alumni Covid 19 alpa tanpa gejala. 
Dua2 nya diisolasi di rs.
Anaknya malah 2 minggu lebih ga negatif walau ga bergejala.
Trus bapaknya vaksin akhir tahun pakai moderna.
Anaknya ga vaksin. 
Iya, vaksin n survivor bikin virus ga sampai paru2. 
Rontgen segala soalnya.",itu dua nya alumni covid alpa tanpa gejala dua nya isolasi di rs anak bahkan minggu lebih enggak negatif walau enggak gejala terus bapak vaksin akhir tahun pakai moderna anak enggak vaksin iya vaksin survivor buat virus enggak sampai paru rontgen segala soal
"@noirjayke Kata mama aku, kode genetik yg ada di dalam kandungan moderna untuk imun tubuh pencegah virus covid bisa 95% sama, lebih tinggi dari vaksin yg lain.  Efek nya itu ntar kerasa kalau misalnya kamu kena covid/omicron gejala nya bakalan ringan, dan menurunkan tingkat kematian.",kata ibu saya kode genetik yang ada di dalam kandung moderna untuk imun tubuh cegah virus covid bisa sama lebih tinggi dari vaksin yang lain efek nya itu entar rasa kalau misal kamu kena covid omicron gejala nya akan ringan dan turun tingkat mati
"Vaksin 1-2, booster moderna udah dari tahun lalu, batuk dikit eee… covid, eeq!",vaksin booster moderna sudah dari tahun lalu batuk dikit covid eeq
"thanks fastlab! hari ini booster di fastlab, ada moderna dan pfizer. sepi banget engga antri sm sekali.

syarat, hrs ada tiket vaksin ke-3 dan antigen negative (bs antigen on the spot) krn banyak kasus di vaksin saat kondisi positive covid.",terima kasih fastlab hari ini booster di fastlab ada moderna dan pfizer sepi banget enggak antri sama sekali syarat harus ada tiket vaksin ke dan antigen negative bisa antigen on the spot karena banyak kasus di vaksin saat kondisi positive covid
"Tadi swab antigen sama dokter. Terus ngobrol masalah penempatan di site. Dan pada titik bahas covid.
🧔: Udah vaksin booster
🧑: Udah dok.
🧔: Apa vaksinnya?
Baru narik nafas mau jawab
🧔: Sinovac, sinovac, moderna ya?
🧑: Iya dok

Dlm hati ngebatin: dokternya cpt bgt ngomongnya",tadi swab antigen sama dokter terus obrol masalah tempat di site dan pada titik bahas covid sudah vaksin booster sudah dok apa vaksin baru tarik nafas mau jawab sinovac sinovac moderna iya iya dok dalam hati ngebatin dokter cepat banget omong
"@kumparan flu biasa kok,kami sekeluarga kena covid kayak nya minggu lalu,berawal dr anak pulang sekolah usia 11 thn,panas,flu,kami tertular dan sy kehilangan penciuman,4 hari,beraktifitas seperti biasa minum obat flu,sembuh kok.jd di bawa rilek aja.kami sdh vaksin moderna,anak blm",flu biasa kok kami keluarga kena covid seperti nya minggu lalu awal dari anak pulang sekolah usia tahun panas flu kami tular dan saya hilang cium hari beraktifitas seperti biasa minum obat flu sembuh kok jadi di bawa rilek saja kami sudah vaksin moderna anak belum
"@dioritadyah @dpratamaaji Mashaallah beruntung sudah booster Moderna.
Vaksinasi 1 &amp; 2 pakai vaksin merk apa? Gejala covid yg dialami saat ini apa aja?",mashaallah untung sudah booster moderna vaksinasi amp pakai vaksin merk apa gejala covid yang alami saat ini apa saja
"@KemenkesRI Saya dapat vaksin dan booster saya di Jerman. Di jerman kalau udah pernah kena covid, orang cuman butuh satu dosis vaksin bukan dua. Saya pernah kena covid di Desember 2020, jadi saya cuman perlu dapat satu dosis vaksin moderna di bulan juni 2021",saya dapat vaksin dan booster saya di jerman di jerman kalau sudah pernah kena covid orang hanya butuh satu dosis vaksin bukan dua saya pernah kena covid di desember jadi saya hanya perlu dapat satu dosis vaksin moderna di bulan juni
"Nusantara Negeri Sejahtera -Nah, berdasarkan Surat Edaran HK.02.02/II/252/2022, dijelaskan juga bahwa vaksin booster COVID-19 pada ibu hamil adalah platform mRNA Pfizer dan Moderna",nusantara negeri sejahtera nah dasar surat edar hk ii jelas juga bahwa vaksin booster covid pada ibu hamil adalah platform mrna pfizer dan moderna
"@ana_ot @RajaGuguk14 “Omicron now the dominant U.S. Covid strain at 73% of cases, CDC data shows”. 

Ini negara yg pake vaksin Pfizer dan Moderna gak ada vaksin Sinovac di Amerika.",omicron now the dominant covid strain at of cases cdc data shows ini negara yang pakai vaksin pfizer dan moderna enggak ada vaksin sinovac di amerika
"@ana_ot @Ronnie_Rusli artinya mrna lebih efektif terjadi perlawanan antibodi. saya curiganya sinovac nggak efektif!

saya merasa orang indonesia itu sudah tepapar covid semuanya dan punya antibodi, begitu disuntik moderna jadi 'sakit', kalo pake sinovac nggak kerasa 'sakit' karena vaksin jelek!",arti mrna lebih efektif jadi lawan antibodi saya curiga sinovac enggak efektif saya rasa orang indonesia itu sudah tepapar covid semua dan punya antibodi begitu suntik moderna jadi sakit jika pakai sinovac enggak rasa sakit karena vaksin jelek
"@jenolimnida Aku kmrn booster vaksinnya dapet yang moderna.. Hshshs asli itu udh kayak simulasi kena covid 😭 bedanya gk baruk pilek ajaa

Kalau lebih sakit sih iyaa, soalnya aku vaksin ke 1 sm 2 dapet yg sinovac

Kayaknya yaa, efeknya tergantung sama jenis vaksinnya juga..",saya kemarin booster vaksin dapat yang moderna hshshs asli itu sudah seperti simulasi kena covid beda enggak baruk pilek saja kalau lebih sakit sih iya soal saya vaksin ke sama dapat yang sinovac seperti ya efek gantung sama jenis vaksin juga
"@chardmiraitowa @CRABEMASAHIRO Pak ku melihat vaksin Covid 19 Moderna lebih berat,pak Suga",pak ku lihat vaksin covid moderna lebih berat pak suga
"Akhirnya pasca kena covid juli tahun lalu, hari ini vaksin ketiga. Lumayan yaaa moderna ini efek setelahnya 😰",akhir pasca kena covid juli tahun lalu hari ini vaksin tiga lumayan iya moderna ini efek telah
@zoelfick @mbahndi Yg jelas beliau adl salah satu yg membiayai riset vaksin covid19 Moderna.,yang jelas beliau adalah salah satu yang biaya riset vaksin covid moderna
"Ini Medan yg sengit buat test vaksin alami (Alumni Covid) , dan vaksin moderna Kito 🙏 gassss",ini medan yang sengit buat test vaksin alami alumni covid dan vaksin moderna kito gas
"beberapa kali di vaksin, emang vaksin covid moderna yg lgs auto tumbang",beberapa kali di vaksin memang vaksin covid moderna yang langsung auto tumbang
"Masa iya sih udah 2x ngerasain efek vaksin moderna, 2x pula kena covid 😭",masa iya sih sudah rasai efek vaksin moderna pula kena covid
"smg aja dgn vaksin booster pake astra, pfizer dan moderna, semua orang jd  bisa bebal covid, aamiinn aamiinn",moga saja dengan vaksin booster pakai astra pfizer dan moderna semua orang jadi bisa bebal covid aamiinn aamiinn
"✨Assalamualaikum Warahmatullahi Wabarakatuh✨
.
⚕️[R&amp;D TALKS E-HEALTH] ⚕️
.
💉R&amp;D Talks kali ini akan membahas macam-macam vaksin COVID-19 lho! Diantaranya Sinovac, AstraZeneca, Sputnik V,  Pfizer dan Moderna.
•
🤔Hmm pasti kalian bingung ya? Apa bedanya vaksin-vaksin tersebut.",jadi orang alamualaikum warahmatullahi wabarakatuh amp talks health amp talks kali ini akan bahas macam macam vaksin covid lho antara sinovac astrazeneca sputnik pfizer dan moderna hmm pasti kalian bingung iya apa beda vaksin vaksin sebut
"@dewizard_ Sinovac itu satu2nya vaksin yg ada virus corona yg dilemahkan (kayak vaksin Polio). Yg lain2 kayak AZ (viral vector bukan covid), Moderna (mRNA), Pfizer (mRNA). Kalau sdh seminggu ya tertular diluar Wi.",sinovac itu satu nya vaksin yang ada virus corona yang lemah seperti vaksin polio yang lain seperti az viral vector bukan covid moderna mrna pfizer mrna kalau sudah minggu iya tular luar wi
